k,timestamp,load_p_kw,poa_irradiance_w_m2,temp_air_c,quality,bess_1.available,dg_1.available,grid_1.available,pv_1.available
0,2026-03-01T00:00:00+05:30,363.965,0.0,24.556,synthetic,True,True,True,True
1,2026-03-01T00:15:00+05:30,375.353,0.0,25.116,synthetic,True,True,True,True
2,2026-03-01T00:30:00+05:30,368.014,0.0,24.521,synthetic,True,True,True,True
3,2026-03-01T00:45:00+05:30,386.554,0.0,23.851,synthetic,True,True,True,True
4,2026-03-01T01:00:00+05:30,405.882,0.0,23.641,synthetic,True,True,True,True
5,2026-03-01T01:15:00+05:30,392.345,0.0,23.513,synthetic,True,True,True,True
6,2026-03-01T01:30:00+05:30,384.512,0.0,23.326,synthetic,True,True,True,True
7,2026-03-01T01:45:00+05:30,383.487,0.0,24.318,synthetic,True,True,True,True
8,2026-03-01T02:00:00+05:30,404.864,0.0,24.697,synthetic,True,True,True,True
9,2026-03-01T02:15:00+05:30,403.807,0.0,24.854,synthetic,True,True,True,True
10,2026-03-01T02:30:00+05:30,390.571,0.0,24.285,synthetic,True,True,True,True
11,2026-03-01T02:45:00+05:30,392.774,0.0,24.858,synthetic,True,True,True,True
12,2026-03-01T03:00:00+05:30,391.831,0.0,25.319,synthetic,True,True,True,True
13,2026-03-01T03:15:00+05:30,383.773,0.0,25.773,synthetic,True,True,True,True
14,2026-03-01T03:30:00+05:30,374.165,0.0,25.418,synthetic,True,True,True,True
15,2026-03-01T03:45:00+05:30,368.251,0.0,25.818,synthetic,True,True,True,True
16,2026-03-01T04:00:00+05:30,363.225,0.0,26.322,synthetic,True,True,True,True
17,2026-03-01T04:15:00+05:30,372.466,0.0,26.694,synthetic,True,True,True,True
18,2026-03-01T04:30:00+05:30,387.201,0.0,26.597,synthetic,True,True,True,True
19,2026-03-01T04:45:00+05:30,393.023,0.0,26.451,synthetic,True,True,True,True
20,2026-03-01T05:00:00+05:30,366.422,0.0,26.876,synthetic,True,True,True,True
21,2026-03-01T05:15:00+05:30,374.736,0.0,26.273,synthetic,True,True,True,True
22,2026-03-01T05:30:00+05:30,387.821,0.0,27.013,synthetic,True,True,True,True
23,2026-03-01T05:45:00+05:30,382.511,0.0,27.061,synthetic,True,True,True,True
24,2026-03-01T06:00:00+05:30,485.856,0.0,27.706,synthetic,True,True,True,True
25,2026-03-01T06:15:00+05:30,492.492,0.0,28.026,synthetic,True,True,True,True
26,2026-03-01T06:30:00+05:30,487.677,0.349,27.955,synthetic,True,True,True,True
27,2026-03-01T06:45:00+05:30,486.691,17.704,27.699,synthetic,True,True,True,True
28,2026-03-01T07:00:00+05:30,471.978,64.516,27.503,synthetic,True,True,True,True
29,2026-03-01T07:15:00+05:30,466.428,120.485,27.112,synthetic,True,True,True,True
30,2026-03-01T07:30:00+05:30,478.222,178.398,27.608,synthetic,True,True,True,True
31,2026-03-01T07:45:00+05:30,490.891,233.217,27.378,synthetic,True,True,True,True
32,2026-03-01T08:00:00+05:30,488.332,298.634,26.987,synthetic,True,True,True,True
33,2026-03-01T08:15:00+05:30,491.092,363.665,27.42,synthetic,True,True,True,True
34,2026-03-01T08:30:00+05:30,520.036,423.841,27.976,synthetic,True,True,True,True
35,2026-03-01T08:45:00+05:30,537.129,472.543,27.922,synthetic,True,True,True,True
36,2026-03-01T09:00:00+05:30,550.216,517.849,28.09,synthetic,True,True,True,True
37,2026-03-01T09:15:00+05:30,534.549,569.6,28.14,synthetic,True,True,True,True
38,2026-03-01T09:30:00+05:30,570.767,636.975,28.759,synthetic,True,True,True,True
39,2026-03-01T09:45:00+05:30,571.456,690.327,29.617,synthetic,True,True,True,True
